Month,airlines,netflix,Recipe,Restaurant,Amazon
2004-01,22,1,40,30,18
2004-02,20,1,38,34,17
2004-03,20,1,35,29,17
2004-04,20,1,35,30,16
2004-05,20,1,34,30,16
2004-06,21,1,33,29,16
2004-07,22,1,36,31,17
2004-08,22,1,36,30,18
2004-09,20,1,36,30,18
2004-10,18,1,41,30,19
2004-11,17,1,45,31,22
2004-12,17,1,52,33,27
2005-01,22,1,39,31,20
2005-02,19,1,39,34,19
2005-03,19,1,37,31,19
2005-04,18,1,34,31,18
2005-05,20,1,35,31,18
2005-06,20,1,34,31,19
2005-07,21,1,36,32,20
2005-08,21,1,37,32,21
2005-09,19,1,36,29,20
2005-10,18,1,42,32,21
2005-11,16,1,45,32,24
2005-12,16,1,55,34,29
2006-01,19,2,39,32,22
2006-02,18,1,38,34,20
2006-03,18,1,36,31,20
2006-04,18,1,35,31,19
2006-05,18,1,34,30,19
2006-06,18,1,34,30,19
2006-07,19,2,35,32,20
2006-08,19,2,37,32,21
2006-09,17,1,38,31,21
2006-10,17,1,41,32,21
2006-11,17,1,44,32,25
2006-12,17,2,54,33,31
2007-01,19,2,38,31,23
2007-02,19,2,39,34,21
2007-03,18,2,35,30,20
2007-04,19,2,35,30,19
2007-05,18,1,34,30,20
2007-06,19,1,33,31,20
2007-07,19,2,36,32,22
2007-08,18,2,36,30,22
2007-09,16,2,38,30,22
2007-10,16,1,39,31,22
2007-11,15,1,43,31,27
2007-12,15,2,52,32,33
2008-01,17,2,39,30,24
2008-02,16,2,38,33,22
2008-03,17,2,38,30,22
2008-04,17,2,34,30,21
2008-05,16,2,34,29,21
2008-06,16,2,33,29,22
2008-07,16,2,36,30,21
2008-08,16,2,36,30,23
2008-09,15,2,40,29,23
2008-10,14,2,41,28,23
2008-11,13,2,46,29,29
2008-12,14,3,55,30,36
2009-01,15,3,45,28,27
2009-02,14,3,43,31,24
2009-03,16,2,41,28,24
2009-04,16,2,42,28,23
2009-05,15,2,42,29,23
2009-06,16,3,42,29,24
2009-07,17,3,45,30,25
2009-08,16,3,49,31,25
2009-09,15,3,48,29,25
2009-10,15,3,53,30,27
2009-11,15,3,59,30,33
2009-12,15,4,69,31,40
2010-01,17,4,55,29,30
2010-02,16,4,55,32,27
2010-03,16,4,52,30,26
2010-04,17,4,49,29,24
2010-05,16,4,49,30,25
2010-06,16,5,46,29,25
2010-07,16,5,47,31,26
2010-08,15,5,50,32,28
2010-09,14,6,49,30,29
2010-10,14,6,52,30,30
2010-11,14,6,57,30,38
2010-12,14,7,68,31,45
2011-01,16,8,54,30,35
2011-02,14,7,52,31,32
2011-03,13,7,49,30,31
